Designator,Mid X,Mid Y,Rotation,Layer
D1,74.486793,-103.778159,90.0,bottom
D10,248.146793,-95.878159,90.0,bottom
D11,267.416793,-99.358159,90.0,bottom
D12,286.746793,-102.728159,90.0,bottom
D13,337.726793,-97.558159,90.0,bottom
D14,356.836793,-97.578159,90.0,bottom
D15,375.786793,-97.548159,90.0,bottom
D16,73.166793,-122.788159,90.0,bottom
D17,92.506793,-119.378159,90.0,bottom
D18,111.836793,-115.878159,90.0,bottom
D19,131.176793,-112.518159,90.0,bottom
D2,93.826793,-100.348159,90.0,bottom
D20,149.856793,-118.598159,90.0,bottom
D21,168.896793,-119.918159,90.0,bottom
D22,192.456793,-118.958159,90.0,bottom
D23,211.386793,-117.608159,90.0,bottom
D24,230.056793,-111.488159,90.0,bottom
D25,249.406793,-114.918159,90.0,bottom
D26,268.716793,-118.358159,90.0,bottom
D27,288.106793,-121.478159,90.0,bottom
D28,337.676793,-116.608159,90.0,bottom
D29,356.726793,-116.648159,90.0,bottom
D3,113.156793,-96.938159,90.0,bottom
D30,375.796793,-116.628159,90.0,bottom
D31,71.846793,-141.748159,90.0,bottom
D32,91.146793,-138.398159,90.0,bottom
D33,110.486793,-134.928159,90.0,bottom
D34,129.856793,-131.488159,90.0,bottom
D35,148.526793,-137.608159,90.0,bottom
D36,167.496793,-138.998159,90.0,bottom
D37,193.736793,-137.948159,90.0,bottom
D38,212.756793,-136.738159,90.0,bottom
D39,231.366793,-130.548159,90.0,bottom
D4,132.496793,-93.538159,90.0,bottom
D40,250.746793,-134.038159,90.0,bottom
D41,270.046793,-137.388159,90.0,bottom
D42,289.446793,-140.578159,90.0,bottom
D43,313.876793,-145.188159,90.0,bottom
D44,337.666793,-135.648159,90.0,bottom
D45,356.746793,-135.678159,90.0,bottom
D46,375.816793,-135.688159,90.0,bottom
D47,89.806793,-157.418159,90.0,bottom
D48,109.146793,-153.998159,90.0,bottom
D49,128.536793,-150.528159,90.0,bottom
D5,151.176793,-99.588159,90.0,bottom
D50,154.346793,-164.238159,90.0,bottom
D51,180.546793,-164.208159,90.0,bottom
D52,206.716793,-164.248159,90.0,bottom
D53,232.776793,-149.578159,90.0,bottom
D54,252.006793,-152.948159,90.0,bottom
D55,271.426793,-156.438159,90.0,bottom
D56,294.746793,-164.298159,90.0,bottom
D57,313.926793,-164.308159,90.0,bottom
D58,332.936793,-164.308159,90.0,bottom
D59,356.726793,-154.808159,90.0,bottom
D6,170.176793,-100.948159,90.0,bottom
D60,375.806793,-154.758159,90.0,bottom
D7,191.056793,-99.908159,90.0,bottom
D8,210.046793,-98.618159,90.0,bottom
D9,228.736793,-92.498159,90.0,bottom
U1,65.487714,-104.700921,356.0,top
U10,239.770507,-97.857267,4.0,top
U11,259.103174,-101.3,4.0,top
U12,278.460507,-104.427267,4.0,top
U13,329.131793,-98.998159,0.0,top
U14,348.201793,-98.998159,0.0,top
U15,367.211793,-98.988159,0.0,top
U16,64.158617,-123.708603,356.0,top
U17,83.511561,-120.288867,356.0,top
U18,102.830412,-116.83,356.0,top
U19,122.171561,-113.448867,356.0,top
U2,84.835047,-101.273654,356.0,top
U20,140.840331,-119.527744,356.0,top
U21,159.830331,-120.857744,356.0,top
U22,184.073174,-120.87,4.0,top
U23,203.070808,-119.54537,4.0,top
U24,221.753174,-113.43,4.0,top
U25,241.103174,-116.87,4.0,top
U26,260.420507,-120.307267,4.0,top
U27,279.774693,-123.4262,4.0,top
U28,329.111793,-118.058159,0.0,top
U29,348.196793,-118.078159,0.0,top
U3,104.171561,-97.868867,356.0,top
U30,367.256793,-118.078159,0.0,top
U31,62.833079,-142.697267,356.0,top
U32,82.133079,-139.337267,356.0,top
U33,101.476793,-135.878159,356.0,top
U34,120.842082,-132.416199,356.0,top
U35,139.523079,-138.547267,356.0,top
U36,158.503079,-139.897267,356.0,top
U37,185.410808,-139.89537,4.0,top
U38,204.453174,-138.65,4.0,top
U39,223.083174,-132.43,4.0,top
U4,123.500331,-94.457744,356.0,top
U40,242.423174,-135.85,4.0,top
U41,261.733174,-139.33,4.0,top
U42,281.133174,-142.51,4.0,top
U43,305.286793,-146.668159,0.0,top
U44,329.106793,-137.098159,0.0,top
U45,348.166793,-137.128159,0.0,top
U46,367.236793,-137.138159,0.0,top
U47,80.833079,-158.337267,356.0,top
U48,100.153079,-154.917267,356.0,top
U49,119.543079,-151.427267,356.0,top
U5,142.180331,-100.517744,356.0,top
U50,145.766793,-165.668159,0.0,top
U51,171.956793,-165.678159,0.0,top
U52,198.106793,-165.688159,0.0,top
U53,224.473174,-151.49,4.0,top
U54,243.713174,-154.84,4.0,top
U55,263.100808,-158.32537,4.0,top
U56,286.226793,-165.698159,0.0,top
U57,305.291793,-165.738159,0.0,top
U58,324.376793,-165.768159,0.0,top
U59,348.187051,-156.174683,0.0,top
U6,161.170412,-101.87,356.0,top
U60,367.236793,-156.188159,0.0,top
U61,303.936793,-101.608159,0.0,top
U7,182.737343,-101.852966,4.0,top
U8,201.733174,-100.54,4.0,top
U9,220.403174,-94.44,4.0,top
